case,cost,ROI,Outcomes,Profit_Chance,Profit_Stat,Min_Return,Min_Return_p,Avg_loss_return,Avg_loss_return_p,Max_Return,Max_Return_p,Avg_gain_return,Avg_gain_return_p,Roll_50,Roll_50_p,Roll_100,Roll_100_p,Roll_1000,Roll_1000_p,Roll_100000,Roll_100000_p
Norse Case,6.0,-994.8678333333336,19,3.527,96473,-1.3600000000000003,77.33333333333333,-105.87838,-17.646396666666668,353.89,5998.166666666666,46.186310000000006,7.697718333333334,-52.30000000000001,-17.78911564625851,-105.0,-17.857142857142858,-727.0500000000002,-12.117500000000003,-59692.070000000065,-9.948678333333344
Canals Case,1.5,-989.9146666666669,12,10.135,89865,-0.43999999999999995,70.66666666666667,-29.187890000000003,-19.458593333333337,13.91,1027.3333333333333,14.33917,9.559446666666666,-13.07,-17.782312925170068,-17.960000000000008,-11.973333333333338,-145.46000000000004,-9.707040373707043,-14848.720000000001,-9.899146666666669
Covert Knife Case,35.0,-992.1302857142857,21,19.653,80347,-29.32,16.228571428571428,-1743.10286,-49.802938857142856,2513.98,7282.8,1395.85726,39.881636,-707.0500000000001,-42.086309523809526,-692.4899999999998,-19.397478991596635,-4467.66,-12.75199086627658,-347245.6000000001,-9.921302857142859
Farm M4 Case,0.49,-1000.2816326530615,9,1.923,98077,-0.45999999999999996,6.122448979591836,-44.0462,-89.89020408163265,53.98,11116.326530612245,39.14482,79.88738775510205,-6.899999999999999,-28.738025822573928,-29.87,-60.95918367346938,-21.050000000000068,-4.291626740606346,-4901.379999999997,-10.002816326530608
Farm Knife Case,2.0,-1003.8209999999996,11,8.921,91079,-1.97,1.5,-165.19057,-82.595285,194.3,9815.0,145.11415,72.557075,-78.73,-80.33673469387756,-51.03,-25.515,-167.59999999999968,-8.379999999999985,-20076.419999999984,-10.038209999999992
Farm AWP Case,0.99,-991.9161616161629,25,9.133,90867,-0.94,5.050505050505051,-81.47324,-82.29620202020203,40.16,4156.565656565656,71.65326999999999,72.3770404040404,-33.88999999999999,-71.31734006734007,-74.77000000000001,-77.86108507757993,-115.82000000000005,-11.710700599589494,-9819.970000000001,-9.919161616161617
Farm AK-47 Case,0.99,-996.8262626262623,20,4.437,95563,-0.96,3.0303030303030303,-80.21265,-81.02287878787878,46.0,4746.464646464647,70.34407,71.05461616161617,-40.339999999999996,-84.89057239057239,-64.75999999999999,-66.74912389198103,-93.0100000000001,-9.394949494949506,-9868.580000000002,-9.968262626262629
Glover Case,70.0,-990.8788714285711,15,19.501,80499,-69.86,0.2,-5596.463400000001,-79.94947714285715,1543.8,2305.4285714285716,4902.848190000001,70.04068842857144,-973.1899999999996,-28.37288629737608,-1749.9899999999998,-24.99985714285714,-6704.640000000007,-9.578057142857151,-693615.21,-9.908788714285715
Silver Bull Case,21.0,-1009.3604761904771,12,9.494,90506,-17.64,16.0,-1202.08282,-57.24203904761905,314.96,1599.8095238095236,990.1171199999999,47.14843428571428,-280.32000000000005,-26.697142857142865,-127.88999999999987,-6.0297029702970235,-2100.2400000000052,-10.001142857142883,-211965.7000000002,-10.09360476190477
Star Pearl Case,65.0,-989.9816615384616,13,12.74,87260,-49.41,23.984615384615385,-2902.4694499999996,-44.653376153846146,1255.0,2030.7692307692307,2258.9813700000004,34.753559538461545,-417.9499999999998,-12.36538461538461,-859.7599999999993,-13.36068376068375,-7244.000000000007,-11.16694928318176,-643488.0800000001,-9.899816615384617
