case,cost,ROI,Outcomes,Profit_Chance,Profit_Stat,Min_Return,Min_Return_p,Avg_loss_return,Avg_loss_return_p,Max_Return,Max_Return_p,Avg_gain_return,Avg_gain_return_p,Roll_50,Roll_50_p,Roll_100,Roll_100_p,Roll_1000,Roll_1000_p,Roll_100000,Roll_100000_p
HaiX Case,20.0,-996.5607999999997,17,24.38,75620,-18.8,6.0,-1006.57269,-50.3286345,2200.0,11100.0,807.26053,40.363026500000004,-179.70999999999992,-18.33775510204081,-521.8199999999997,-26.35454545454544,-1011.2999999999993,-5.051448551448548,-199312.15999999992,-9.965607999999996
FranzJ Case,11.0,-991.5738181818192,16,22.066,77934,-9.58,12.909090909090908,-544.0828599999999,-49.46207818181817,1155.01,10600.090909090908,435.0097399999999,39.546339999999994,-165.58999999999997,-30.107272727272722,-88.03999999999996,-7.924392439243921,-907.8900000000012,-8.253545454545467,-109073.12,-9.915738181818181
Source2.exe Case,10.0,-993.9510000000004,14,19.906,80094,-9.45,5.500000000000001,-589.04837,-58.904837,254.95999999999998,2649.6,489.65326999999996,48.965326999999995,-167.45,-33.489999999999995,98.19999999999982,9.722772277227705,-1112.3099999999995,-11.13423423423423,-99395.10000000021,-9.939510000000022
Survival Knives Case,70.0,-990.7447000000003,16,17.198,82802,-63.03,9.957142857142857,-3840.78559,-54.86836557142857,491.02,801.4571428571429,3147.2643,44.96091857142857,-384.1300000000001,-10.97514285714286,-1015.1300000000001,-14.648340548340549,-6555.5999999999985,-9.355787070072783,-693521.29,-9.907447000000001
Skeleton Knives Case,90.0,-990.4856000000001,13,11.154,88846,-80.83,10.188888888888888,-5149.43052,-57.215894666666664,855.52,1050.5777777777778,4257.99348,47.31103866666667,-1093.08,-24.786394557823126,-692.6000000000004,-7.6955555555555595,-8738.089999999997,-9.699289599289596,-891437.0399999991,-9.90485599999999
M9 Bayonet Knives Case,150.0,-990.4098399999997,27,14.218,85782,-115.39,23.07333333333333,-8228.43647,-54.85624313333334,3542.24,2461.4933333333333,6742.82171,44.952144733333334,-3511.2999999999993,-48.76805555555555,-3053.029999999999,-20.152013201320123,-17404.089999999997,-11.661031825795643,-1485614.759999998,-9.904098399999986
Rookie's Choice Case,0.35,-991.9914285714285,19,7.863,92137,-0.29,17.142857142857142,-22.205769999999998,-63.44505714285714,23.45,6800.0,18.7338,53.52514285714285,-7.669999999999998,-45.654761904761905,-14.439999999999998,-41.25714285714285,-39.89999999999992,-11.41141141141139,-3471.9699999999975,-9.91991428571428
First Harvest Case,1.0,-1001.0010000000012,22,14.116,85884,-0.8200000000000001,18.0,-43.998329999999996,-43.998329999999996,90.38,9138.0,33.98832,33.98832,-14.670000000000002,-29.938775510204085,-27.230000000000004,-28.072164948453615,-100.53999999999985,-10.04395604395603,-10010.01000000001,-10.01001000000001
Confident Banker Case,3.0,-990.7223333333336,15,18.568,81432,-2.35,21.666666666666668,-146.32936,-48.776453333333336,84.57,2919.0,116.60769,38.86923,-49.34,-33.56462585034014,-52.29000000000002,-17.430000000000007,-343.8100000000004,-11.460333333333347,-29721.670000000042,-9.907223333333347
Old but Gold Case,10.0,-992.6777999999997,17,14.562,85438,-8.3,17.0,-522.5004700000001,-52.25004700000001,280.39,2903.8999999999996,423.23269000000005,42.323269,-176.85000000000002,-36.091836734693885,-134.74,-13.474,-1045.9899999999998,-10.470370370370368,-99267.78000000003,-9.926778000000002
Pro Investor Case,30.0,-992.8549999999996,22,20.335,79665,-22.58,24.73333333333333,-1461.36826,-48.71227533333333,1269.6,4332.0,1163.51176,38.78372533333334,-552.16,-36.81066666666666,-768.7599999999998,-25.625333333333327,-3172.0099999999948,-10.562803862803845,-297856.50000000047,-9.928550000000016
Anubis Case,3.0,-994.601666666667,39,11.485,88515,-2.97,1.0,-212.90751999999998,-70.96917333333333,340.84,11461.333333333332,183.06947,61.023156666666665,-76.13,-45.31547619047619,-19.250000000000057,-6.290849673202632,-369.0599999999995,-12.277445109780421,-29838.050000000047,-9.946016666666683
Sands of Anubis Case,5.0,-990.0023999999996,22,24.885,75115,-4.0,20.0,-250.19908999999998,-50.039818,338.84,6876.8,200.69897,40.139794,-94.03999999999999,-39.18333333333333,-59.920000000000016,-11.984000000000004,-469.5499999999993,-9.390999999999986,-49500.119999999995,-9.900023999999998
Scratcher Case,0.5,-991.7460000000005,21,16.509,83491,-0.42,16.0,-25.27844,-50.55688,5.39,1178.0,20.319709999999997,40.639419999999994,-6.290000000000003,-26.208333333333343,1.3899999999999935,2.75247524752474,-48.08000000000004,-9.606393606393615,-4958.730000000003,-9.917460000000005
New Gen TOP Case,2.0,-993.8139999999997,23,22.481,77519,-1.9,5.0,-115.83241,-57.916205,60.42,3121.0,95.95613000000002,47.97806500000001,-20.83999999999999,-20.83999999999999,-46.24999999999997,-23.358585858585844,-198.86000000000013,-9.943000000000007,-19876.280000000028,-9.938140000000013
Big Legends Case,20.0,-1002.4417,27,8.728,91272,-19.22,3.9,-1536.9769099999999,-76.8488455,1589.75,8048.75,1336.48857,66.8244285,-749.77,-79.7627659574468,229.99999999999955,11.386138613861363,-2407.1799999999967,-12.023876123876107,-200488.34000000008,-10.024417000000003
Dual Gleam Case,10.0,-993.8696999999997,23,15.861,84139,-7.76,22.400000000000002,-484.85377000000005,-48.48537700000001,758.0,7680.0,385.46680000000003,38.54668,-168.55,-34.39795918367347,-306.35,-31.260204081632654,-987.8400000000001,-9.878400000000001,-99386.9700000002,-9.93869700000002
Holo-mania Case,7.0,-1008.6607142857143,25,15.098,84902,-6.11,12.714285714285714,-259.49575999999996,-37.07082285714285,73.37,1148.142857142857,188.88951,26.984215714285714,-5.730000000000018,-1.6050420168067279,-73.81999999999994,-10.545714285714276,-737.7599999999993,-10.54997854997854,-70606.25,-10.086607142857144
Bleach Case,1.0,-990.1399999999995,21,10.245,89755,-0.76,24.0,-43.628479999999996,-43.628479999999996,92.55,9355.0,33.72708,33.72708,-19.259999999999998,-39.306122448979586,-32.150000000000006,-32.150000000000006,-93.70000000000016,-9.370000000000015,-9901.399999999994,-9.901399999999994
One Piece Case,5.0,-981.8648000000006,19,20.863,79137,-3.56,28.799999999999997,-191.45913000000002,-38.291826,346.6,7032.000000000001,142.36588999999998,28.473177999999997,-74.19000000000003,-30.281632653061237,-130.60000000000002,-26.383838383838388,-790.1900000000005,-15.81961961961963,-49093.23999999999,-9.818647999999998
Berserk Case,15.0,-984.2670666666661,21,19.402,80598,-11.870000000000001,20.866666666666667,-770.12081,-51.34138733333334,827.39,5615.9333333333325,622.4807500000001,41.498716666666674,-218.67000000000007,-29.15600000000001,-381.9399999999998,-25.71986531986531,-1155.590000000002,-7.696237096237109,-147640.05999999982,-9.842670666666654
Attack on Titan Case,30.0,-995.0947333333328,24,10.628,89372,-20.54,31.533333333333335,-1219.90134,-40.663377999999994,1477.7,5025.666666666667,921.37292,30.712430666666666,-495.18000000000006,-33.68571428571429,-1101.89,-37.10067340067341,-1864.949999999997,-6.204091816367256,-298528.4199999999,-9.95094733333333
Jujutsu Kaisen Case,50.0,-995.0601799999996,23,11.111,88889,-39.71,20.58,-2682.39653,-53.6479306,2733.36,5566.72,2184.8664400000002,43.69732880000001,-1216.99,-49.67306122448979,-1819.3199999999997,-37.12897959183673,-5870.739999999998,-11.753233233233228,-497530.08999999985,-9.950601799999998
Demon Step Case,5.0,-1002.8552000000009,7,14.518,85482,-4.74,5.2,-396.90174,-79.380348,398.2,8064.0,346.75898,69.35179600000001,-27.080000000000013,-10.832000000000006,-39.280000000000086,-7.856000000000017,-878.1199999999999,-17.579979979979978,-50142.76000000001,-10.028552000000001
Trinity Force Case,30.0,-1009.5921666666671,7,17.739,82261,-28.87,3.766666666666666,-2341.9508100000003,-78.06502700000001,1314.0,4480.0,2039.0731600000001,67.96910533333333,-687.6299999999999,-46.777551020408154,-684.1999999999994,-22.58085808580856,-3098.0599999999977,-10.337203870537195,-302877.6499999999,-10.095921666666662
Royalty Case,75.0,-990.1750533333324,7,11.246,88754,-67.7,9.733333333333333,-5945.16978,-79.2689304,3012.49,4116.653333333334,5202.538490000001,69.36717986666667,-1378.5800000000004,-36.76213333333334,-2260.4299999999994,-30.139066666666658,-6461.880000000005,-8.615840000000006,-742631.29,-9.901750533333335
Guardian of Wilderness Case,150.0,-1007.1785333333319,7,11.495,88505,-137.76,8.16,-12160.911839999999,-81.07274559999999,3203.95,2235.9666666666667,10650.144040000001,71.00096026666667,342.3800000000001,4.475555555555557,-511.7900000000009,-3.378151815181524,-14939.959999999992,-9.959973333333327,-1510767.8000000007,-10.071785333333338
Who’s crazy? Case,300.0,-1009.3282633333347,7,11.589,88411,-277.37,7.543333333333332,-24274.2563,-80.91418766666666,7425.68,2575.226666666667,21246.27151,70.82090503333333,-5090.450000000001,-34.62891156462585,-1004.5900000000001,-3.315478547854786,-29282.45000000001,-9.76081666666667,-3027984.789999999,-10.093282633333331
Snow Globe Case,15.0,-990.2022000000007,20,13.681,86319,-11.78,21.46666666666667,-793.2885500000001,-52.88590333333334,539.54,3696.933333333333,644.7582199999999,42.98388133333333,-340.75999999999993,-46.36190476190475,-535.4499999999998,-36.057239057239045,-1360.4699999999993,-9.051696606786424,-148530.33000000007,-9.902022000000004
Fresh Horizon Case,0.35,-993.5628571428563,21,9.471,90529,-0.22999999999999998,34.285714285714285,-13.605949999999996,-38.87414285714285,28.32,8191.4285714285725,10.128480000000001,28.93851428571429,-6.35,-38.60182370820668,-11.5,-33.18903318903319,-44.629999999999995,-12.764192764192764,-3477.470000000001,-9.935628571428575
Lunar Legacy Case,3.0,-994.8830000000005,19,7.326,92674,-2.14,28.666666666666668,-129.00493,-43.001643333333334,232.51,7850.333333333333,99.15844,33.05281333333333,-49.84,-32.575163398692816,-86.72,-28.62046204620462,-452.1500000000001,-15.086753420086756,-29846.48999999999,-9.948829999999997
Burst of Lilies Case,12.0,-980.2951666666667,22,14.939,85061,-8.9,25.833333333333336,-572.75568,-47.729639999999996,1104.0,9300.0,455.12026,37.92668833333333,-235.35000000000008,-40.859375000000014,-365.1399999999999,-30.735690235690228,-2616.129999999999,-21.866683383483778,-117635.41999999993,-9.802951666666662
Phoenix Pulse Case,35.0,-990.5429142857138,21,12.14,87860,-23.57,32.65714285714286,-1656.6403300000002,-47.332580857142865,3053.8,8825.142857142857,1309.9503100000002,37.42715171428572,-538.4700000000003,-31.397667638483977,-1282.3999999999996,-37.387755102040806,-4960.240000000005,-14.200515316346996,-346690.0200000005,-9.905429142857157
Echo Hope Case,100.0,-990.0927000000008,24,12.153,87847,-72.95,27.05,-4456.25828,-44.5625828,7392.28,7492.28,3466.16558,34.6616558,-1820.52,-38.734468085106386,-3106.24,-30.75485148514851,-18140.459999999992,-18.14045999999999,-990092.6999999993,-9.900926999999992
